StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AveragePrice,RevenuePercentage,CumulativeRevenue,ABC_Class,MovementCategory
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,12.461649175412294,1.5980395848911668,1.5980395848911668,A,Fast Moving
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,2.870665869218501,1.4218750679971688,3.0199146528883354,A,Fast Moving
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08,0.9696201315503647,3.9895347844387,A,Fast Moving
M,Manual,9384,151777.67,620,214.78588839941264,0.8735503874396797,4.86308517187838,A,Fast Moving
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,1.9738697463082164,0.7730011684066009,5.636086340284981,A,Fast Moving
POST,POSTAGE,5235,124648.04,1803,29.938874098724348,0.7174068730637165,6.353493213348698,A,Fast Moving
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,1.6761515601783061,0.7157022207670257,7.0691954341157235,A,Fast Moving
47566,PARTY BUNTING,23460,103283.38,2077,4.77291229742612,0.5944434159193487,7.663638850035072,A,Fast Moving
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,1.2203030303030302,0.468590775148754,8.132229625183827,A,Fast Moving
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691,2.9196085204375364,0.44085780086210513,8.573087426045932,A,Fast Moving
79321,CHILLI LIGHTS,14843,69084.3,922,5.146038961038961,0.39761196117320197,8.970699387219135,A,Fast Moving
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,1.9569180327868854,0.36908484844406064,9.339784235663195,A,Fast Moving
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,3.6303696857670977,0.363124205756952,9.702908441420147,A,Fast Moving
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,2.5669636363636363,0.3216161122627271,10.024524553682875,A,Fast Moving
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,6.962461832061068,0.3138185567961875,10.338343110479062,A,Fast Moving
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121,8.499444933920705,0.3132847953876011,10.651627905866663,A,Fast Moving
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,5.787598152424943,0.3127091917810374,10.9643370976477,A,Fast Moving
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,1.9575478142076501,0.3003670095790226,11.264704107226724,A,Fast Moving
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,2.0127703523693805,0.29497448839980217,11.559678595626526,A,Fast Moving
22470,HEART OF WICKER LARGE,17104,49859.5,1743,2.944598990465508,0.2869643837762742,11.8466429794028,A,Fast Moving
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,2.9157650602409637,0.28115769965806436,12.127800679060865,A,Fast Moving
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,1.9728645833333334,0.2748864923213188,12.402687171382183,A,Fast Moving
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,1129,3.8781657848324516,0.2728905561677318,12.675577727549916,A,Fast Moving
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,5.794080100125157,0.2640897088234179,12.939667436373334,A,Fast Moving
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,1.3451874573960465,0.2632936135243488,13.202961049897683,A,Fast Moving
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,1447,4.878344733242134,0.26245671201019594,13.46541776190788,A,Fast Moving
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,1.980715552927262,0.25933604376187147,13.724753805669751,A,Fast Moving
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,1233,2.9220930232558144,0.2589857664346495,13.983739572104401,A,Fast Moving
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499,9.774549098196394,0.2577630764018688,14.24150264850627,A,Fast Moving
