CustomerID,FirstPurchaseDate,LastPurchaseDate,TotalInvoices,TotalQuantity,TotalRevenue,AvgOrderValue,AvgBasketSize,AvgUniqueProducts,PreferredPurchaseHour,PreferredSeason,Country,Recency,Frequency,Monetary,Cluster,CustomerSegment
12346.0,2009-12-14 08:34:00,2011-01-18 10:01:00,12,74285,77556.46,2281.0723529411766,2195.5,11.647058823529411,13,Summer,United Kingdom,326,12,77556.46,0,Regular Customers
12347.0,2010-10-31 14:20:00,2011-12-07 15:52:00,8,2967,4921.53,22.16905405405405,425.5945945945946,32.054054054054056,14,Autumn,Iceland,2,8,4921.53,0,Regular Customers
12348.0,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2714,2019.4,39.59607843137255,674.1176470588235,13.549019607843135,14,Autumn,Finland,75,5,2019.4,0,Regular Customers
12349.0,2010-04-29 13:20:00,2011-11-21 09:51:00,4,1624,4428.6900000000005,25.306800000000003,550.6685714285715,59.83428571428571,9,Autumn,Italy,19,4,4428.69,0,Regular Customers
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.40000000000003,19.67058823529412,197.0,17.0,16,Winter,Norway,310,1,334.4,1,At-Risk Customers
12351.0,2010-11-29 15:23:00,2010-11-29 15:23:00,1,261,300.93,14.33,261.0,21.0,15,Autumn,Unspecified,375,1,300.93,1,At-Risk Customers
12352.0,2010-11-12 10:20:00,2011-11-03 14:37:00,10,724,2849.84,27.668349514563108,85.85436893203884,12.533980582524272,14,Autumn,Norway,36,10,2849.84,0,Regular Customers
12353.0,2010-10-27 12:44:00,2011-05-19 17:47:00,2,212,406.76,16.948333333333334,163.33333333333334,17.333333333333332,12,Autumn,Bahrain,204,2,406.76,0,Regular Customers
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,18.610344827586207,530.0,58.0,13,Spring,Spain,232,1,1079.4,0,Regular Customers
12355.0,2010-05-21 11:59:00,2011-05-09 13:49:00,2,543,947.61,27.074571428571428,279.6,18.65714285714286,11,Spring,Bahrain,214,2,947.61,0,Regular Customers
12356.0,2010-10-11 09:42:00,2011-11-17 08:40:00,6,3416,6371.7300000000005,44.87133802816902,731.4507042253521,29.295774647887324,9,Autumn,Portugal,23,6,6371.73,0,Regular Customers
12357.0,2010-11-16 10:05:00,2011-11-06 16:07:00,3,6587,18287.66,61.78263513513514,3347.097972972973,148.84459459459458,10,Autumn,Switzerland,33,3,18287.66,0,Regular Customers
12358.0,2009-12-08 07:59:00,2011-12-08 10:26:00,5,1079,3887.07,50.48142857142857,234.93506493506493,17.103896103896105,10,Summer,Austria,2,5,3887.07,0,Regular Customers
12359.0,2009-12-05 13:32:00,2011-10-13 12:47:00,10,2739,8873.39,24.5121270718232,408.0193370165746,60.72928176795581,12,Autumn,Cyprus,58,10,8873.39,0,Regular Customers
12360.0,2010-02-22 09:32:00,2011-10-18 15:22:00,8,2459,4252.89,19.59857142857143,456.1658986175115,40.84331797235023,9,Autumn,Austria,52,8,4252.89,0,Regular Customers
12361.0,2010-01-26 14:37:00,2011-02-25 13:51:00,4,235,511.25,17.629310344827587,62.72413793103448,7.620689655172414,15,Winter,Belgium,287,4,511.25,1,At-Risk Customers
12362.0,2009-12-01 10:10:00,2011-12-06 15:40:00,11,2230,5356.2300000000005,20.06078651685393,231.31086142322096,28.580524344569287,15,Autumn,Belgium,3,11,5356.23,0,Regular Customers
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,24.0,234.5217391304348,13.26086956521739,13,Spring,Unspecified,110,2,552.0,0,Regular Customers
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,1313.1,15.448235294117646,455.08235294117645,27.91764705882353,15,Summer,Belgium,8,4,1313.1,0,Regular Customers
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,641.38,29.15363636363636,165.1818181818182,20.09090909090909,13,Winter,Cyprus,291,2,641.38,1,At-Risk Customers
12366.0,2010-03-16 10:28:00,2010-03-16 10:28:00,1,296,500.24,166.74666666666667,296.0,3.0,10,Spring,Cyprus,634,1,500.24,1,At-Risk Customers
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,168.9,15.354545454545455,173.0,11.0,16,Winter,Denmark,4,1,168.9,0,Regular Customers
12368.0,2010-03-21 15:56:00,2010-03-21 15:56:00,1,330,917.7,50.98333333333333,330.0,18.0,15,Spring,Cyprus,628,1,917.7,1,At-Risk Customers
12369.0,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1241,1791.15,19.25967741935484,791.4516129032259,62.2258064516129,14,Autumn,Austria,413,3,1791.15,1,At-Risk Customers
12370.0,2010-02-09 09:41:00,2011-10-19 14:51:00,7,2604,4316.56,21.47542288557214,692.4179104477612,52.53233830845771,12,Winter,Cyprus,51,7,4316.56,0,Regular Customers
12371.0,2010-03-04 18:23:00,2011-10-26 10:16:00,5,1436,4067.38,24.35556886227545,490.3413173652695,55.82634730538922,13,Autumn,Switzerland,45,5,4067.38,0,Regular Customers
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,1298.04,24.962307692307693,271.11538461538464,17.884615384615383,12,Winter,Denmark,72,3,1298.04,0,Regular Customers
12373.0,2010-02-04 12:08:00,2011-02-01 13:10:00,3,516,1127.65,22.11078431372549,174.54901960784315,17.50980392156863,13,Winter,Austria,311,3,1127.65,1,At-Risk Customers
12374.0,2010-04-30 14:01:00,2011-11-14 15:37:00,4,1362,2989.2200000000003,36.01469879518073,516.144578313253,30.783132530120483,14,Autumn,Austria,25,4,2989.2200000000003,0,Regular Customers
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,457.5,26.91176470588235,88.41176470588235,9.235294117647058,14,Autumn,Finland,11,2,457.5,0,Regular Customers
12376.0,2010-10-18 08:42:00,2010-11-15 12:15:00,2,240,503.15,38.70384615384615,177.46153846153845,9.615384615384617,8,Autumn,Switzerland,390,2,503.15,1,At-Risk Customers
12377.0,2010-04-29 15:34:00,2011-01-28 15:45:00,4,2105,3426.32,22.54157894736842,565.1644736842105,39.46052631578947,15,Winter,Switzerland,315,4,3426.32,1,At-Risk Customers
12378.0,2010-05-26 14:07:00,2011-08-02 10:34:00,2,3316,5416.32,17.994418604651162,2054.435215946844,181.67774086378736,10,Summer,Switzerland,130,2,5416.32,0,Regular Customers
12379.0,2010-06-23 12:49:00,2011-09-19 10:09:00,4,815,1620.22,20.00271604938272,206.28395061728395,20.40740740740741,14,Autumn,Belgium,82,4,1620.22,0,Regular Customers
12380.0,2010-02-15 12:05:00,2011-11-18 11:27:00,11,3355,9676.3,34.93249097472925,481.014440433213,38.27797833935018,15,Summer,Belgium,22,11,9676.3,0,Regular Customers
12381.0,2011-08-12 09:57:00,2011-12-05 12:44:00,5,808,1845.31,21.21045977011494,439.0574712643678,47.71264367816092,9,Summer,Norway,5,5,1845.31,0,Regular Customers
12383.0,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,1850.56,18.69252525252525,489.8989898989899,27.282828282828284,14,Winter,Belgium,185,5,1850.56,0,Regular Customers
12384.0,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,585.27,21.676666666666662,62.96296296296296,13.51851851851852,11,Summer,Switzerland,29,2,585.27,0,Regular Customers
12385.0,2010-11-25 15:14:00,2010-11-25 15:14:00,1,612,1938.4,29.821538461538463,612.0,65.0,15,Autumn,Belgium,379,1,1938.4,1,At-Risk Customers
12386.0,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,401.9,40.19,199.2,6.8,9,Winter,Australia,338,2,401.9,1,At-Risk Customers
12387.0,2010-10-20 16:27:00,2010-10-20 16:27:00,1,134,143.94,15.993333333333332,134.0,9.0,16,Autumn,Australia,415,1,143.94,1,At-Risk Customers
12388.0,2010-05-06 12:54:00,2011-11-24 12:30:00,8,2001,3901.11,26.71993150684932,306.1438356164384,22.91780821917808,12,Autumn,Australia,16,8,3901.11,0,Regular Customers
12389.0,2010-02-22 10:15:00,2010-11-02 11:52:00,3,614,1433.33,29.251632653061225,253.6326530612245,19.693877551020407,11,Autumn,Australia,403,3,1433.33,1,At-Risk Customers
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,549.84,17.1825,353.0,32.0,9,Autumn,Belgium,80,1,549.84,0,Regular Customers
12391.0,2010-02-15 10:12:00,2011-11-18 12:07:00,6,1204,2724.84,10.205393258426966,266.5580524344569,68.27715355805243,12,Autumn,Cyprus,22,6,2724.84,0,Regular Customers
12392.0,2010-04-27 14:04:00,2010-04-27 14:04:00,1,73,234.75000000000003,33.53571428571429,73.0,7.0,14,Spring,Australia,591,1,234.75000000000003,1,At-Risk Customers
12393.0,2010-10-07 13:49:00,2011-09-28 15:41:00,6,1311,2399.45,22.424766355140186,258.32710280373834,20.97196261682243,9,Autumn,Australia,72,6,2399.4500000000003,0,Regular Customers
12394.0,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,1272.48,47.12888888888889,283.1111111111111,17.666666666666668,14,Spring,Belgium,64,2,1272.48,0,Regular Customers
12395.0,2010-04-16 10:16:00,2011-11-20 15:21:00,15,3205,4721.17,19.50896694214876,298.5123966942149,22.446280991735534,16,Spring,Belgium,19,15,4721.17,0,Regular Customers
12396.0,2010-02-03 13:22:00,2010-02-03 13:22:00,1,591,931.43,14.329692307692309,591.0,65.0,13,Winter,RSA,674,1,931.43,1,At-Risk Customers
12397.0,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,2409.9,19.12619047619048,639.5555555555555,63.77777777777778,14,Summer,Belgium,36,2,2409.9,0,Regular Customers
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,1635.66,19.24305882352941,1394.0,85.0,10,Autumn,Switzerland,46,1,1635.66,0,Regular Customers
12399.0,2010-03-05 08:45:00,2011-08-12 13:15:00,7,2198,1962.3,17.83909090909091,358.6636363636364,17.672727272727272,9,Spring,Belgium,119,7,1962.3,0,Regular Customers
12400.0,2010-10-21 13:45:00,2010-10-21 13:45:00,1,91,205.25,18.65909090909091,91.0,11.0,13,Autumn,Australia,414,1,205.25,1,At-Risk Customers
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,1,11,84.3,16.86,11.0,5.0,13,Winter,Belgium,303,1,84.3,1,At-Risk Customers
12402.0,2010-02-07 12:41:00,2011-01-20 13:49:00,6,584,1256.9,17.955714285714286,103.88571428571429,12.2,12,Winter,Belgium,323,6,1256.9,1,At-Risk Customers
12403.0,2010-07-06 11:39:00,2011-10-21 10:51:00,2,260,1019.36,113.26222222222222,126.22222222222224,4.555555555555555,10,Autumn,Denmark,50,2,1019.36,0,Regular Customers
12404.0,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,63.24,63.24,1.0,1.0,16,Winter,Finland,682,1,63.24,1,At-Risk Customers
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,1,857,1710.39,31.67388888888889,857.0,54.0,8,Summer,Finland,149,1,1710.39,0,Regular Customers
12406.0,2010-01-11 14:04:00,2011-11-17 19:22:00,5,3416,6390.36,38.49614457831325,771.9096385542168,41.5,19,Autumn,Denmark,22,5,6390.36,0,Regular Customers
12407.0,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1416,1708.12,22.18337662337662,342.987012987013,21.337662337662337,9,Summer,Belgium,50,5,1708.12,0,Regular Customers
12408.0,2010-07-29 13:27:00,2011-11-07 12:27:00,8,2229,4340.77,27.30044025157233,336.9245283018868,24.144654088050316,13,Autumn,Belgium,33,8,4340.77,0,Regular Customers
12409.0,2010-05-23 15:21:00,2011-09-22 10:38:00,7,13143,23419.29,88.70943181818183,3373.2916666666665,67.54545454545455,10,Autumn,Switzerland,79,7,23419.29,0,Regular Customers
12410.0,2010-07-25 13:26:00,2011-02-04 10:39:00,3,341,1013.71,25.34275,157.95,17.4,10,Winter,Switzerland,309,3,1013.71,1,At-Risk Customers
12411.0,2010-10-26 09:25:00,2010-10-26 09:25:00,1,138,346.9,15.768181818181818,138.0,22.0,9,Autumn,Australia,410,1,346.9,1,At-Risk Customers
12412.0,2010-06-18 13:22:00,2011-09-26 10:16:00,6,1997,2596.93,20.448267716535437,383.8110236220472,23.992125984251967,13,Summer,Denmark,75,6,2596.93,0,Regular Customers
12413.0,2010-11-02 13:26:00,2011-10-04 09:00:00,4,319,999.45,19.59705882352941,110.96078431372548,16.88235294117647,16,Winter,France,67,4,999.45,0,Regular Customers
12414.0,2010-09-02 12:22:00,2011-05-06 14:51:00,6,495,952.41,34.01464285714286,120.64285714285714,6.285714285714286,14,Spring,Austria,217,6,952.41,0,Regular Customers
