ds,yhat,yhat_lower,yhat_upper
2009-12-01,49312.04400568032,33638.9527660015,64561.30557942489
2009-12-02,46255.17966222347,30005.539146529733,60933.86911250904
2009-12-03,53197.57294544988,37436.25477045509,68646.1831902421
2009-12-04,43753.37921522355,28083.73740431402,59258.772997861866
2009-12-05,10161.922283871774,-5399.435828156214,26238.148589745164
2009-12-06,32968.94984569696,17453.650994865322,49015.39227598238
2009-12-07,43697.37586118141,27600.389705073118,58268.21697578741
2009-12-08,45314.78786225643,29397.60208700948,60466.35830796157
2009-12-09,41263.445299969,24944.548390377604,56575.575389572834
2009-12-10,47200.34671782964,32167.247760007915,63348.920389955536
2009-12-11,36761.94821127799,21372.074115331543,52288.15011815156
2009-12-13,24115.140202989787,7554.154460202658,39251.512306146506
2009-12-14,34021.12104395901,18727.175077081127,49825.044467422806
2009-12-15,34917.58535809444,18664.059800190626,49198.33717235207
2009-12-16,30266.51471656301,15131.59911125103,45377.59398589354
2009-12-17,35742.317713803684,20512.03702144973,50952.72862060394
2009-12-18,24996.03285248219,10382.366253588249,39897.20117981661
2009-12-20,12234.673417112295,-2815.0314990956936,27684.027080670912
2009-12-21,22345.40128277945,6694.735326173852,37647.92758789117
2009-12-22,23622.200922876287,7860.3348651005135,39347.1138666225
2009-12-23,19522.55448318085,4992.827431168379,34409.959766305954
2010-01-04,19399.238557797977,4102.230251836363,34957.065426193854
2010-01-05,22925.2501732802,8093.605317694742,37895.40241225214
2010-01-06,20976.803449966817,4303.742474877945,36637.33695679868
2010-01-07,29175.44693430519,13812.823773932309,46246.80876237173
2010-01-08,21118.789431919336,6023.558048439034,36294.27918551652
2010-01-10,13428.146318830091,-1487.7775221215704,28409.55422464967
2010-01-11,25821.68961079002,9849.222091403231,41962.03971708925
2010-01-12,29153.921564203494,12946.616596398577,44009.50461173912
2010-01-13,26844.54865704652,11541.727400180269,41034.49549169765
2010-01-14,34527.90244259082,19096.541427722324,50060.22491402905
2010-01-15,25818.047665320188,9085.946365318296,40267.08486366287
2010-01-17,16488.716398677814,1263.3381390612165,31054.68734772738
2010-01-18,27943.629773925364,13586.36334925346,42532.19552289165
2010-01-19,30291.7979621036,14930.3788855984,43726.79139381023
2010-01-20,26979.62193011549,12285.747402655645,42358.51705264393
2010-01-21,33668.191330020185,19292.242380103424,48715.41252290517
2010-01-22,23997.69467610693,7115.11564531172,38178.23425375043
